#,Tag,Games with this tag,Votes for this tag,Tag weight,Price (median),Userscore (median),Owners (median),Playtime (median)
1,Indie,5173,"277,792",54,2.49  $,78%,"950,000",02:07
2,Action,3894,"442,928",114,2.49  $,79%,"1,900,000",02:33
3,Adventure,3338,"295,347",88,2.99  $,79%,"1,900,000",02:46
4,Singleplayer,2549,"268,405",105,2.99  $,84%,"2,860,000",03:30
5,Casual,2469,"90,946",37,1.99  $,77%,"950,000",01:44
6,Strategy,1851,"168,966",91,2.99  $,77%,"1,900,000",02:48
7,Simulation,1643,"142,499",87,3.49  $,75%,"1,590,000",02:24
8,RPG,1591,"188,520",118,2.99  $,78%,"1,900,000",03:27
9,Multiplayer,1419,"317,878",224,2.99  $,80%,"3,810,000",03:25
10,Great Soundtrack,1275,"125,211",98,3.74  $,87%,"2,860,000",03:45
11,Atmospheric,1117,"142,129",127,3.74  $,84%,"3,810,000",03:48
12,2D,994,"56,445",57,2.49  $,85%,"1,900,000",03:10
13,Puzzle,921,"43,294",47,1.99  $,84%,"1,270,000",02:12
14,Early Access,886,"99,036",112,4.99  $,72%,"950,000",02:10
15,Open World,823,"244,741",297,4.49  $,79%,"4,760,000",04:11
16,Story Rich,813,"106,724",131,3.74  $,87%,"2,860,000",04:02
17,Co-op,774,"164,080",212,2.99  $,81%,"5,710,000",04:05
18,Difficult,751,"61,858",82,2.99  $,85%,"2,540,000",03:22
19,Shooter,729,"158,027",217,2.09  $,82%,"4,440,000",02:46
20,Sci-fi,719,"78,271",109,3.09  $,83%,"2,860,000",03:24
21,First-Person,711,"169,133",238,2.99  $,81%,"4,760,000",02:44
22,Horror,688,"81,102",118,2.49  $,79%,"2,540,000",02:46
23,VR,672,"12,060",18,4.99  $,76%,"630,000",00:55
24,Anime,669,"47,556",71,2.49  $,86%,"1,430,000",03:20
25,Pixel Graphics,665,"45,101",68,2.49  $,85%,"1,270,000",02:45
26,Funny,655,"76,255",116,2.89  $,86%,"3,170,000",03:09
27,Fantasy,627,"58,252",93,2.99  $,82%,"2,860,000",03:52
28,Free to Play,614,"189,614",309,0.00  $,76%,"1,900,000",00:38
29,Platformer,614,"41,631",68,2.99  $,83%,"1,590,000",02:33
30,Female Protagonist,611,"40,971",67,3.49  $,85%,"1,590,000",03:20
31,FPS,594,"170,979",288,1.99  $,79%,"5,400,000",02:46
32,Survival,568,"166,354",293,3.41  $,77%,"3,810,000",03:48
33,Gore,560,"47,207",84,2.99  $,80%,"3,490,000",03:09
34,Violent,521,"27,852",53,2.99  $,75%,"1,590,000",02:06
35,Sandbox,495,"126,632",256,4.99  $,81%,"4,130,000",04:42
36,Retro,458,"17,432",38,2.09  $,85%,"1,590,000",02:05
37,Comedy,445,"59,974",135,2.49  $,88%,"3,170,000",03:28
38,Arcade,443,"14,377",32,2.49  $,82%,"1,590,000",02:47
39,Classic,438,"34,332",78,2.49  $,88%,"3,490,000",02:29
40,Third Person,404,"83,091",206,3.74  $,80%,"5,710,000",04:18
41,Nudity,404,"32,099",79,2.54  $,82%,"1,900,000",03:26
42,Massively Multiplayer,384,"63,247",165,0.00  $,70%,"4,290,000",01:46
43,Exploration,375,"63,436",169,4.49  $,80%,"3,490,000",03:51
44,Point & Click,366,"20,354",56,2.49  $,84%,"1,590,000",02:15
45,Visual Novel,364,"22,247",61,3.74  $,87%,"950,000",02:35
46,Turn-Based,359,"26,904",75,4.49  $,82%,"1,590,000",03:41
47,Space,348,"39,393",113,3.36  $,78%,"1,900,000",03:23
48,Sports,347,"15,947",46,3.99  $,75%,"950,000",01:30
49,Rogue-like,337,"23,391",69,3.74  $,83%,"1,270,000",03:40
50,Tactical,319,"56,287",176,2.99  $,82%,"4,130,000",03:41
51,Cute,318,"22,387",70,3.19  $,90%,"1,590,000",03:35
52,Racing,308,"31,319",102,2.63  $,77.5%,"1,430,000",01:47
53,Psychological Horror,298,"25,231",85,2.54  $,81%,"1,900,000",02:26
54,Online Co-Op,293,"76,946",263,1.99  $,83%,"8,570,000",03:41
55,Zombies,279,"78,294",281,2.59  $,79%,"3,810,000",03:21
56,Family Friendly,268,"12,380",46,1.99  $,85%,"1,900,000",02:25
57,Sexual Content,267,"17,847",67,2.49  $,83%,"1,590,000",02:17
